Boarding
Charging
Contact to the Head
Cross Checking
Delay of Game
Elbowing
Slashing
Roughing
Obstruction
High Sticking
Kneeing
Holding
Holding the Stick
Interference
Hooking
Unsportsmanlike Conduct
Tripping
Butt-Ending
Checking from Behind
Fighting
Fight Instigator
Holding
Pushing off of Opponent with Skate
Leaving the Bench During an Altercation
Spearing
